	pid	ptlon	ptlat	tfl	insl	insw	x_rti	az	lort	llon1	llat1	stcr_l	rlon1	rlat1	stcr_r	llon2	llat2	rlon2	rlat2	vhalf	obsaz	predaz_morvel	predaz_tf	sigc	bias
Prince_Edward 	9.0	35.127	-45.408	163.9	160	12	83.6	13.5	1	34.844	-46.134	1	35.350	-44.703	1	33.91	-45.98	36.90	-44.84	7.1	76	75.26	74.99	2.48	0.27
Eric_Simpson 	9.0	39.3	-43.8	84	80	18	43.3	13	1	39.182	-44.176	1	39.393	-43.440	1	38.25	-44.06	41.59	-43.77	7.2	77	78.79	79.1	7.32	0.58
Fisher 	9.0	41.7	-43.3	113	100	15	53	10	1	41.590	-43.771	1	41.836	-42.773	1	39.39	-43.44	42.43	-42.84	7.2	80	80.63	81.12	4.93	0.34
DiscoveryII 	9.0	42.6	-41.9	218.9	190	15	105.5	7	1	42.434	-42.837	1	42.785	-40.887	1	41.84	-42.77	44.88	-40.99	7.3	83	81.54	82.4	2.61	0.14
Indomed 	9.0	46.2	-39.5	203.1	100	15	124.5	5	1	46.011	-40.614	1	46.213	-38.788	1	44.75	-40.53	48.58	-38.80	7.3	85	84.37	85.87	4.93	0.19
Novarra 	10.0	58.4	-31.45	43.4	35	5	22.3	359	1	58.395	-31.653	1	58.403	-31.264	1	57.03	-31.82	60.72	-30.17	6.9	91	93.28	91	4.69	-1.14
Melville 	10.0	60.776	-29.85	114.6	50	5	36.4	356	1	60.714	-29.110	1	60.814	-30.200	1	58.40	-31.26	64.92	-27.55	6.8	94	93.7	94	3.30	-0.89
Owen 	11.0	58.25	12.5	305.6	45	4	279.5	24	2	57.006	10.298	1	58.324	12.735	1	58.13	9.55	57.30	13.30	10.7	66	65.31	66	2.93	-0.33
Owen 	11.0	57.9	11.5	305.6	190	35	165.1	30	2	57.006	10.298	1	58.324	12.735	1	58.13	9.55	57.30	13.30	10.8	60	63.47	60	6.03	-0.10
TF_Vii	12.0	48	12.6	36.7	18	3	18.8	23.5	1	47.922	12.447	1	48.059	12.752	1	47.54	12.58	48.23	12.71	9.2	66.5	60.89	63.83	5.46	0.17
